x,y,pmi,count
cornets,flourish,2.7198359386589086,9
rain,hey,2.718583219998027,6
katherine,les,2.718583219998027,6
les,katherine,2.718583219998027,6
hey,rain,2.718583219998027,6
katherine,que,2.7140355922473067,5
que,katherine,2.7140355922473067,5
south,north,2.7108066221171083,6
north,south,2.7108066221171083,6
casca,cicero,2.7108066221171083,5
cicero,casca,2.7108066221171083,5
joan,pucelle,2.709468271344846,9
pucelle,joan,2.709468271344846,9
flow,rs,2.703606064028375,18
rs,flow,2.703606064028375,18
waiting,gentlewoman,2.702837692445833,7
gentlewoman,waiting,2.702837692445833,7
anne,bullen,2.700377093898176,8
bullen,anne,2.700377093898176,8
knave,lousy,2.700213548619684,6
lousy,knave,2.700213548619684,6
murder,rape,2.6989073988174006,5
rape,murder,2.6989073988174006,5
harry,monmouth,2.6950123549338763,8
monmouth,harry,2.6950123549338763,8
theseus,hippolyta,2.6945279215519093,8
hippolyta,theseus,2.6945279215519093,8
friar,laurence,2.6932923745396025,18
laurence,friar,2.6932923745396025,18
ev,n,2.691253085741429,19
n,ev,2.691253085741429,19
joan,la,2.6870874914674894,8
la,joan,2.6870874914674894,8
hotspur,douglas,2.6842884895421033,5
douglas,hotspur,2.6842884895421033,5
ink,pen,2.6797723883771396,5
pen,ink,2.6797723883771396,5
heal,wound,2.6767875348276773,5
wound,heal,2.6767875348276773,5
cock,crow,2.673085087152975,5
crow,cock,2.673085087152975,5
banquo,fleance,2.670878675217157,5
fleance,banquo,2.670878675217157,5
titinius,lucilius,2.6694139369588834,5
lucilius,titinius,2.6694139369588834,5
jove,mercury,2.668683416211527,5
camps,between,2.668683416211527,7
between,camps,2.668683416211527,7
mercury,jove,2.668683416211527,5
thisby,pyramus,2.6640758443319426,13
pyramus,thisby,2.6640758443319426,13
siege,raise,2.6599520718816927,6
raise,siege,2.6599520718816927,6
est,la,2.6590587678672457,6
la,est,2.6590587678672457,6
drums,trumpets,2.654829966374747,14
trumpets,drums,2.654829966374747,14
la,pucelle,2.651570746474696,23
pucelle,la,2.651570746474696,23
les,de,2.6484074602372156,8
de,les,2.6484074602372156,8
arthur,britaine,2.644549736494808,5
britaine,arthur,2.644549736494808,5
lamb,fox,2.643859832486495,5
de,dieu,2.643859832486495,5
fox,lamb,2.643859832486495,5
dieu,de,2.643859832486495,5
lucentio,cambio,2.640426656648101,7
cambio,lucentio,2.640426656648101,7
touchstone,audrey,2.6383797032189142,10
audrey,touchstone,2.6383797032189142,10
thomas,lovell,2.6365964992042286,12
lovell,thomas,2.6365964992042286,12
groans,sighs,2.63508590817899,7
sighs,groans,2.63508590817899,7
sounds,trumpet,2.632799825838078,16
trumpet,sounds,2.632799825838078,16
pick,pocket,2.631960609186787,5
pocket,pick,2.631960609186787,5
sleeping,waking,2.6302870252972212,5
waking,sleeping,2.6302870252972212,5
fal,hal,2.6232453772885753,24
hal,fal,2.6232453772885753,24
horse,hobby,2.622287726444303,6
hobby,horse,2.622287726444303,6
hero,ursula,2.6217804413994528,7
ursula,hero,2.6217804413994528,7
ev,ry,2.6211958478505513,6
ry,ev,2.6211958478505513,6
katherine,et,2.61712557923925,8
et,katherine,2.61712557923925,8
threat,ned,2.6167206426300504,8
ned,threat,2.6167206426300504,8
macmorris,captain,2.615969617731917,7
captain,macmorris,2.615969617731917,7
orchard,capulet,2.6094160072835977,5
capulet,orchard,2.6094160072835977,5
caius,dat,2.609097726227283,10
charmian,iras,2.609097726227283,16
iras,charmian,2.609097726227283,16
dat,caius,2.609097726227283,10
florizel,perdita,2.59810234192582,9
perdita,florizel,2.59810234192582,9
heir,rightful,2.5968632698102714,5
rightful,heir,2.5968632698102714,5
dido,widow,2.582263761239983,5
widow,dido,2.582263761239983,5
pole,la,2.579877521819621,5
la,pole,2.579877521819621,5
cank,red,2.5783927529139294,5
red,scatt,2.5783927529139294,5
red,cank,2.5783927529139294,5
scatt,red,2.5783927529139294,5
de,je,2.5769130428558817,10
je,de,2.5769130428558817,10
alarum,retreat,2.5725039239508267,8
retreat,alarum,2.5725039239508267,8
archbishop,canterbury,2.5691536564278477,10
canterbury,archbishop,2.5691536564278477,10
ho,hey,2.5646546511151076,12
hey,ho,2.5646546511151076,12
ink,paper,2.561673076299145,10
paper,ink,2.561673076299145,10
andrew,fabian,2.5587286956523636,7
fabian,andrew,2.5587286956523636,7
cup,sack,2.5548336517688393,9
sack,cup,2.5548336517688393,9
dunsinane,castle,2.551105779249596,5
castle,dunsinane,2.551105779249596,5
evans,hugh,2.549220774541332,14
hugh,evans,2.549220774541332,14
tree,fruit,2.5487260775042415,7
fruit,tree,2.5487260775042415,7
hundred,pounds,2.5476397234867516,6
pounds,hundred,2.5476397234867516,6
brandon,william,2.543927194622473,5
william,brandon,2.543927194622473,5
host,bully,2.543790301167627,10
bully,host,2.543790301167627,10
east,north,2.540110394948133,6
plight,troth,2.540110394948133,5
troth,plight,2.540110394948133,5
north,east,2.540110394948133,6
volumnia,virgilia,2.536057850936936,8
virgilia,volumnia,2.536057850936936,8
caius,ligarius,2.5333770122891646,6
caius,rugby,2.5333770122891646,12
ligarius,caius,2.5333770122891646,6
